Data Name (clickでcopy),Type,c_code,Category [jp],Category [en],cid(data id),Name [jp],Name [en]
soil_electrical_conductivity_depth20cm,env,40000,土壌 化学性,Soil Chemical Properties,40120,土壌EC (深度20cm),Soil EC (20cm)
soil_electrical_conductivity_depth25cm,env,40000,土壌 化学性,Soil Chemical Properties,40125,土壌EC (深度25cm),Soil EC (25cm)
soil_electrical_conductivity_depth30cm,env,40000,土壌 化学性,Soil Chemical Properties,40130,土壌EC (深度30cm),Soil EC (30cm)
soil_electrical_conductivity_depth35cm,env,40000,土壌 化学性,Soil Chemical Properties,40135,土壌EC (深度35cm),Soil EC (35cm)
soil_electrical_conductivity_depth40cm,env,40000,土壌 化学性,Soil Chemical Properties,40140,土壌EC (深度40cm),Soil EC (40cm)
soil_electrical_conductivity_depth45cm,env,40000,土壌 化学性,Soil Chemical Properties,40145,土壌EC (深度45cm),Soil EC (45cm)
soil_electrical_conductivity_depth50cm,env,40000,土壌 化学性,Soil Chemical Properties,40150,土壌EC (深度50cm),Soil EC (50cm)
soil_electrical_conductivity_depth55cm,env,40000,土壌 化学性,Soil Chemical Properties,40155,土壌EC (深度55cm),Soil EC (55cm)
soil_electrical_conductivity_depth60cm,env,40000,土壌 化学性,Soil Chemical Properties,40160,土壌EC (深度60cm),Soil EC (60cm)
soil_pore_electrical_conductivity,env,40000,土壌 化学性,Soil Chemical Properties,40200,間隙水EC,Soil pore EC
soil_pore_EC,env,,,,40200,間隙水EC,Soil pore EC
soil_pore_electrical_conductivity_depth5cm,env,40000,土壌 化学性,Soil Chemical Properties,40205,間隙水EC (深度5cm),Soil pore EC (5cm)
soil_pore_electrical_conductivity_depth10cm,env,40000,土壌 化学性,Soil Chemical Properties,40210,間隙水EC (深度10cm),Soil pore EC (10cm)
soil_pore_electrical_conductivity_depth15cm,env,40000,土壌 化学性,Soil Chemical Properties,40215,間隙水EC (深度15cm),Soil pore EC (15cm)
soil_pore_electrical_conductivity_depth20cm,env,40000,土壌 化学性,Soil Chemical Properties,40220,間隙水EC (深度20cm),Soil pore EC (20cm)
soil_pore_electrical_conductivity_depth25cm,env,40000,土壌 化学性,Soil Chemical Properties,40225,間隙水EC (深度25cm),Soil pore EC (25cm)
soil_pore_electrical_conductivity_depth30cm,env,40000,土壌 化学性,Soil Chemical Properties,40230,間隙水EC (深度30cm),Soil pore EC (30cm)
soil_pore_electrical_conductivity_depth35cm,env,40000,土壌 化学性,Soil Chemical Properties,40235,間隙水EC (深度35cm),Soil pore EC (35cm)
